Model,Ticker,MAE,RMSE,MAPE,Directional Accuracy,Sharpe Ratio
CNN+LSTM,AAPL,112.76333957886077,116.77892997538169,62.79569096811778,0.4863013698630137,92.30837371946492
CNN+LSTM,MSFT,178.4887186825357,192.6442313075217,51.78320843695678,0.4712328767123288,72.16964363639374
CNN+LSTM,NVDA,51.564185265151,66.81598385131448,85.08139598641937,0.5150684931506849,20.896572098042597
CNN+LSTM,JPM,50.5188801839805,63.74258564101183,29.32174393840404,0.4561643835616438,61.29505444206151
CNN+LSTM,BAC,7.042060614610664,8.692827151592143,19.743996488355062,0.5054794520547945,99.76936953460496
CNN+LSTM,GS,175.9763468730629,194.17668664656767,46.83756804068043,0.4589041095890411,69.2389290821892
CNN+LSTM,XOM,47.750911013372296,48.973831665247154,48.54953754376952,0.4753424657534246,135.85644395077222
CNN+LSTM,CVX,55.34280872475432,55.94630807714862,39.13938584779489,0.4643835616438356,272.2435142418631
CNN+LSTM,SLB,16.58750467130815,17.795051780504146,35.85206296378829,0.4890410958904109,110.77014404765454
CNN+LSTM,JNJ,34.990964490313864,35.667320895174605,23.292367538031733,0.4958904109589041,342.1426539118159
CNN+LSTM,PFE,6.102546511857519,7.657462551209424,17.860704681323558,0.4589041095890411,73.5519404631296
CNN+LSTM,UNH,313.68621504714486,315.7598991937219,63.84239182022504,0.4849315068493151,215.11090644338967
CNN+LSTM,SPY,206.50342087021605,218.27274612829413,45.0974871968909,0.4712328767123288,99.8881485314636
CNN+LSTM,QQQ,207.8155508811105,221.82776859484312,54.27995318154418,0.4547945205479452,75.56530701841606
CNN+LSTM,IWM,46.11127913405892,49.73980456839397,23.97841166426792,0.4547945205479452,158.82291929442988
